,FAILED_SIGN_IN_ATTEMPTS,KYC,BIRTH_YEAR,COUNTRY,STATE,CREATED_DATE,TERMS_VERSION,PHONE_COUNTRY,HAS_EMAIL,ID
0,0,PASSED,1971,GB,ACTIVE,2017-08-06 07:33:33.341000,2018-05-25,GB||JE||IM||GG,1,1872820f-e3ac-4c02-bdc7-727897b60043
1,0,PASSED,1982,GB,ACTIVE,2017-03-07 10:18:59.427000,2018-01-01,GB||JE||IM||GG,1,545ff94d-66f8-4bea-b398-84425fb2301e
2,0,PASSED,1973,ES,ACTIVE,2018-05-31 04:41:24.672000,2018-09-20,ES,1,10376f1a-a28a-4885-8daa-c8ca496026bb
3,0,PASSED,1986,FR,ACTIVE,2018-06-01 17:24:23.852000,2018-05-25,FR,1,fd308db7-0753-4377-879f-6ecf2af14e4f
4,0,PASSED,1989,GB,ACTIVE,2017-08-09 15:03:33.945000,2018-09-20,GB||JE||IM||GG,1,755fe256-a34d-4853-b7ca-d9bb991a86d3
5,0,PASSED,1979,GB,ACTIVE,2017-12-30 16:44:36.223000,2018-03-20,GB||JE||IM||GG,1,1cc43441-bb77-47ef-98e5-4af09ccf3c83
6,0,PASSED,1992,FR,ACTIVE,2016-02-17 18:16:20.933000,2018-03-20,FR,1,5a9bae2c-db88-4744-b710-644fa625c7bb
7,0,PASSED,1992,SI,ACTIVE,2017-01-07 11:02:29.410000,2018-05-25,SI,1,60b99cff-7bf8-44e8-9ebf-9fd59d9cbca2
8,0,NONE,1983,PL,ACTIVE,2017-12-15 17:22:24.663000,2018-01-13,PL,1,25356d21-d942-47d5-b3a9-d521c79a2ae6
9,0,PASSED,1980,GB,ACTIVE,2017-08-17 15:59:21.351000,2018-05-25,GB||JE||IM||GG,1,fb125ed6-c85c-47b3-bb96-3493683659b8
10,0,PASSED,1989,BE,ACTIVE,2018-02-24 13:26:47.609000,2018-05-25,BE,1,ada797f9-2e13-4cad-934f-00e861b5ebd8
11,0,PASSED,1995,GB,ACTIVE,2017-06-05 09:30:34.633000,2018-03-20,GB||JE||IM||GG,1,d0277989-4463-42b4-870f-7ba73df09d0e
12,0,PASSED,1980,GB,ACTIVE,2017-11-29 18:00:11.189000,2018-05-25,GB||JE||IM||GG,1,723ee8bc-e8a6-4503-80e5-ba48d8319bc9
13,0,FAILED,1966,GB,ACTIVE,2015-11-06 12:39:34.355000,,GB||JE||IM||GG,0,62edb2a5-8b28-466a-9a9a-b3e314f2f771
